"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","HIGHSD","PRFDROP","OUTLIERRG","MTP"
"637_WC","30.7698211669922","2.21126484870911","83.2688140869141","79.0403060913086","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","A11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","11","FALSE","Target 1","UNKNOWN","SYBR","None","30.6950149536133","1.0706273317337","","","","","","","","TRUE","0.0947634944346201","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.885894993460074","N","Y","N","N","Y"
"637_WC","29.5889472961426","2.22949051856995","83.2688140869141","93.2437515258789","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","A12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","12","FALSE","Target 1","UNKNOWN","SYBR","None","30.6950149536133","1.0706273317337","","","","","","","","TRUE","0.0947634944346201","TRUE","3","25","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.93958765026204","N","Y","N","N","Y"
"677","36.8860168457031","2.24529910087585","82.4585571289062","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","13","FALSE","Target 1","UNKNOWN","SYBR","None","35.2502937316895","1.71024453639984","","","","","","","","TRUE","0.0947634944346201","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.91519722238664","N","Y","N","N","N"
"677","33.4741821289062","2.44368886947632","82.6217193603516","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","14","FALSE","Target 1","UNKNOWN","SYBR","None","35.2502937316895","1.71024453639984","","","","","","","","TRUE","0.0947634944346201","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.934606577658962","N","Y","N","N","N"
"677","35.3906860351562","2.49952554702759","82.8994293212891","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","15","FALSE","Target 1","UNKNOWN","SYBR","None","35.2502937316895","1.71024453639984","","","","","","","","TRUE","0.0947634944346201","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.932591300394351","N","Y","N","N","N"
"678","35.7848587036133","1.58496487140656","83.5522766113281","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","16","FALSE","Target 1","UNKNOWN","SYBR","None","37.4214935302734","2.58694386482239","","","","","","","","TRUE","0.0947634944346201","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.889960469984936","N","Y","N","N","N"
"678","40.4039154052734","1.56749057769775","81.8508987426758","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","17","FALSE","Target 1","UNKNOWN","SYBR","None","37.4214935302734","2.58694386482239","","","","","","","","TRUE","0.0947634944346201","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.900832849939982","N","Y","N","N","N"
"678","36.0757064819336","1.81478238105774","82.8837280273438","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","18","FALSE","Target 1","UNKNOWN","SYBR","None","37.4214935302734","2.58694386482239","","","","","","","","TRUE","0.0947634944346201","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.911108500175466","N","Y","N","N","N"
"679","34.7131385803223","2.31007313728333","82.8349914550781","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","19","FALSE","Target 1","UNKNOWN","SYBR","None","36.0278816223145","1.14551830291748","","","","","","","","TRUE","0.0947634944346201","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.937515816980826","N","Y","N","N","N"
"679","36.8109283447266","1.35593175888062","83.6506118774414","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","20","FALSE","Target 1","UNKNOWN","SYBR","None","36.0278816223145","1.14551830291748","","","","","","","","TRUE","0.0947634944346201","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.938700951107394","N","Y","N","N","N"
"679","36.5595893859863","3.6368305683136","83.7183227539062","","","","65","10","0.5","Lutjanidae1","4.4","sentino","B9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","21","FALSE","Target 1","UNKNOWN","SYBR","None","36.0278816223145","1.14551830291748","","","","","","","","TRUE","0.0947634944346201","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.972657295291754","N","Y","Y","N","N"
"680_WC","31.7145309448242","2.22263121604919","83.3374252319336","68.5913848876953","67.0678100585938","69.8428955078125","65","10","0.5","Lutjanidae1","4.4","control_sentino","B10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","22","FALSE","Target 1","UNKNOWN","SYBR","None","29.0974254608154","2.61260056495667","","","","","","","","TRUE","0.0947634944346201","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.922394979629629","N","Y","N","N","Y"
"680_WC","29.0883903503418","2.17119765281677","83.2688140869141","68.7400970458984","88.5815505981445","","65","10","0.5","Lutjanidae1","4.4","control_sentino","B11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","23","FALSE","Target 1","UNKNOWN","SYBR","None","29.0974254608154","2.61260056495667","","","","","","","","TRUE","0.0947634944346201","TRUE","3","25","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.946049556289172","N","Y","N","N","Y"
"680_WC","26.4893531799316","2.21604037284851","83.1603851318359","68.6858825683594","93.1353302001953","89.6657867431641","65","10","0.5","Lutjanidae1","4.4","control_sentino","B12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","24","FALSE","Target 1","UNKNOWN","SYBR","None","29.0974254608154","2.61260056495667","","","","","","","","TRUE","0.0947634944346201","TRUE","3","22","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.962319890548232","N","Y","N","N","Y"
"682","35.5315704345703","2.42413425445557","82.6761093139648","","","","65","10","0.5","Lutjanidae1","4.4","sentino","C1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","25","FALSE","Target 1","UNKNOWN","SYBR","None","37.4725303649902","1.68113303184509","","","","","","","","TRUE","0.0947634944346201","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.916923803697815","N","Y","N","Y","N"
"682","38.4696655273438","2.00263023376465","81.9146881103516","","","","65","10","0.5","Lutjanidae1","4.4","sentino","C2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","26","FALSE","Target 1","UNKNOWN","SYBR","None","37.4725303649902","1.68113303184509","","","","","","","","TRUE","0.0947634944346201","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.896858376380221","N","Y","N","N","N"
"682","38.4163589477539","2.0112316608429","82.5730133056641","88.8838119506836","","","65","10","0.5","Lutjanidae1","4.4","sentino","C3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","27","FALSE","Target 1","UNKNOWN","SYBR","None","37.4725303649902","1.68113303184509","","","","","","","","TRUE","0.0947634944346201","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.90397804376952","N","Y","N","N","Y"
"683","38.0378570556641","2.0305917263031","82.5186080932617","78.8191757202148","","","65","10","0.5","Lutjanidae1","4.4","sentino","C4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","28","FALSE","Target 1","UNKNOWN","SYBR","None","38.267276763916","0.96238249540329","","","","","","","","TRUE","0.0947634944346201","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.93445538463112","N","Y","N","N","Y"
"683","39.3236351013184","2.01215004920959","82.1770553588867","","","","65","10","0.5","Lutjanidae1","4.4","sentino","C5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","29","FALSE","Target 1","UNKNOWN","SYBR","None","38.267276763916","0.96238249540329","","","","","","","","TRUE","0.0947634944346201","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.883499796004077","N","Y","N","N","N"
"683","37.4403343200684","2.06948375701904","82.611930847168","88.3740234375","85.7104110717773","","65","10","0.5","Lutjanidae1","4.4","sentino","C6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","30","FALSE","Target 1","UNKNOWN","SYBR","None","38.267276763916","0.96238249540329","","","","","","","","TRUE","0.0947634944346201","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.929620103328864","N","Y","N","N","Y"
"684","44.8022880554199","0.82461005449295","82.3999862670898","","","","65","10","0.5","Lutjanidae1","4.4","sentino","C7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","31","FALSE","Target 1","UNKNOWN","SYBR","None","40.7470588684082","3.51381731033325","","","","","","","","TRUE","0.0947634944346201","TRUE","3","40","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.871464078084377","N","Y","N","N","N"
"684","38.604305267334","1.87211275100708","81.6387405395508","68.6431198120117","90.9912261962891","83.2699890136719","65","10","0.5","Lutjanidae1","4.4","sentino","C8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","32","FALSE","Target 1","UNKNOWN","SYBR","None","40.7470588684082","3.51381731033325","","","","","","","","TRUE","0.0947634944346201","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.918662029940579","N","Y","N","N","Y"
"684","38.834587097168","1.87126505374908","82.7388763427734","","","","65","10","0.5","Lutjanidae1","4.4","sentino","C9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","33","FALSE","Target 1","UNKNOWN","SYBR","None","40.7470588684082","3.51381731033325","","","","","","","","TRUE","0.0947634944346201","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.941208436112885","N","Y","N","N","N"
"685_WC","29.811580657959","2.10680866241455","83.2830123901367","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","C10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","34","FALSE","Target 1","UNKNOWN","SYBR","None","29.8707122802734","2.25718522071838","","","","","","","","TRUE","0.0947634944346201","TRUE","3","25","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.937027075780372","N","Y","N","N","N"
"685_WC","27.6436710357666","2.09334826469421","83.2688140869141","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","C11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","35","FALSE","Target 1","UNKNOWN","SYBR","None","29.8707122802734","2.25718522071838","","","","","","","","TRUE","0.0947634944346201","TRUE","3","23","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.953308816882531","N","Y","N","N","N"
"685_WC","32.1568794250488","2.19383883476257","83.2688140869141","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","C12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","36","FALSE","Target 1","UNKNOWN","SYBR","None","29.8707122802734","2.25718522071838","","","","","","","","TRUE","0.0947634944346201","TRUE","3","28","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.913559377575674","N","Y","N","N","N"
"686","35.1404418945312","1.78012096881866","82.5673370361328","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","37","FALSE","Target 1","UNKNOWN","SYBR","None","35.2265472412109","0.287690937519073","","","","","","","","TRUE","0.0947634944346201","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.95106690561855","N","N","N","N","N"
"686","35.5474586486816","1.67335271835327","82.6217193603516","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","38","FALSE","Target 1","UNKNOWN","SYBR","None","35.2265472412109","0.287690937519073","","","","","","","","TRUE","0.0947634944346201","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.927613645606981","N","N","N","N","N"
"686","34.9917411804199","1.48346209526062","82.6274185180664","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","39","FALSE","Target 1","UNKNOWN","SYBR","None","35.2265472412109","0.287690937519073","","","","","","","","TRUE","0.0947634944346201","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.892378453972692","N","N","N","N","N"
"687","37.8831253051758","1.48744821548462","91.2775650024414","83.3890686035156","69.5705871582031","67.5576629638672","65","10","0.5","Lutjanidae1","4.4","sentino","D4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","40","FALSE","Target 1","UNKNOWN","SYBR","None","37.9107208251953","1.95273721218109","","","","","","","","TRUE","0.0947634944346201","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.911307957032841","N","Y","N","N","Y"
"687","39.8771095275879","1.42096436023712","82.3401336669922","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","41","FALSE","Target 1","UNKNOWN","SYBR","None","37.9107208251953","1.95273721218109","","","","","","","","TRUE","0.0947634944346201","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.933960815938264","N","Y","N","N","N"
"687","35.9719276428223","1.61944735050201","83.5903930664062","90.8201904296875","","","65","10","0.5","Lutjanidae1","4.4","sentino","D6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","42","FALSE","Target 1","UNKNOWN","SYBR","None","37.9107208251953","1.95273721218109","","","","","","","","TRUE","0.0947634944346201","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.944854179393153","N","Y","N","N","Y"
"688","39.3888664245605","2.05501461029053","82.8893585205078","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","43","FALSE","Target 1","UNKNOWN","SYBR","None","37.5000038146973","2.55064487457275","","","","","","","","TRUE","0.0947634944346201","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.923477579786587","N","Y","N","N","N"
"688","38.5125923156738","2.18391251564026","83.7049865722656","","","","65","10","0.5","Lutjanidae1","4.4","sentino","D8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","44","FALSE","Target 1","UNKNOWN","SYBR","None","37.5000038146973","2.55064487457275","","","","","","","","TRUE","0.0947634944346201","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.917630906591145","N","Y","N","N","N"
"688","34.5985488891602","2.49370360374451","83.0109481811523","87.2007827758789","","","65","10","0.5","Lutjanidae1","4.4","sentino","D9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","45","FALSE","Target 1","UNKNOWN","SYBR","None","37.5000038146973","2.55064487457275","","","","","","","","TRUE","0.0947634944346201","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.939020234231587","N","Y","N","N","Y"
"689_WC","29.2403392791748","2.55406594276428","83.0653610229492","72.3459091186523","68.7002105712891","","65","10","0.5","Lutjanidae1","4.4","control_sentino","D10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","46","FALSE","Target 1","UNKNOWN","SYBR","None","29.6858196258545","2.98628616333008","","","","","","","","TRUE","0.0947634944346201","TRUE","3","26","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.977674230258037","N","Y","N","N","Y"
"689_WC","32.8698196411133","2.57337832450867","83.0519638061523","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","D11","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","47","FALSE","Target 1","UNKNOWN","SYBR","None","29.6858196258545","2.98628616333008","","","","","","","","TRUE","0.0947634944346201","TRUE","3","29","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.926785556159661","N","Y","N","N","N"
"689_WC","26.9472980499268","2.40053081512451","83.0519638061523","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","D12","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","48","FALSE","Target 1","UNKNOWN","SYBR","None","29.6858196258545","2.98628616333008","","","","","","","","TRUE","0.0947634944346201","TRUE","3","22","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.962967619825118","N","Y","N","N","N"
"690","37.0989074707031","0.965465068817139","81.6971435546875","78.8146209716797","70.9828796386719","76.6391372680664","65","10","0.5","Lutjanidae1","4.4","sentino","E1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","49","FALSE","Target 1","UNKNOWN","SYBR","None","39.5433692932129","2.34499597549438","","","","","","","","TRUE","0.0947634944346201","TRUE","3","33","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.907388891649439","N","Y","N","N","Y"
"690","39.7569160461426","0.922739386558533","83.6006927490234","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","50","FALSE","Target 1","UNKNOWN","SYBR","None","39.5433692932129","2.34499597549438","","","","","","","","TRUE","0.0947634944346201","TRUE","3","36","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.927354694975273","N","Y","N","N","N"
"690","41.7742919921875","0.83843320608139","83.1170501708984","78.4383544921875","87.4149169921875","76.1534042358398","65","10","0.5","Lutjanidae1","4.4","sentino","E3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","51","FALSE","Target 1","UNKNOWN","SYBR","None","39.5433692932129","2.34499597549438","","","","","","","","TRUE","0.0947634944346201","TRUE","3","37","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.922435257741216","N","Y","N","N","Y"
"691","40.0224723815918","1.57134008407593","81.8657684326172","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","52","FALSE","Target 1","UNKNOWN","SYBR","None","37.1011657714844","2.73654365539551","","","","","","","","TRUE","0.0947634944346201","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.916408195799345","N","Y","N","N","N"
"691","34.5973701477051","2.00913286209106","83.155517578125","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","53","FALSE","Target 1","UNKNOWN","SYBR","None","37.1011657714844","2.73654365539551","","","","","","","","TRUE","0.0947634944346201","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.936554074414521","N","Y","N","N","N"
"691","36.683650970459","1.78677773475647","83.6991119384766","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","54","FALSE","Target 1","UNKNOWN","SYBR","None","37.1011657714844","2.73654365539551","","","","","","","","TRUE","0.0947634944346201","TRUE","3","32","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.940272679770811","N","Y","N","N","N"
"692","35.8119125366211","2.08887910842896","81.2037353515625","","","","65","10","0.5","Lutjanidae1","4.4","sentino","E7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","55","FALSE","Target 1","UNKNOWN","SYBR","None","35.5837173461914","3.06186723709106","","","","","","","","TRUE","0.0947634944346201","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.914364540970772","N","Y","N","N","N"
"692","32.414134979248","1.87375068664551","82.2912368774414","86.9131088256836","90.9912261962891","79.2462387084961","65","10","0.5","Lutjanidae1","4.4","sentino","E8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","56","FALSE","Target 1","UNKNOWN","SYBR","None","35.5837173461914","3.06186723709106","","","","","","","","TRUE","0.0947634944346201","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.916270299833033","N","Y","N","N","Y"
"692","38.5251007080078","1.75300681591034","83.2830123901367","87.3096084594727","77.0254669189453","73.4341812133789","65","10","0.5","Lutjanidae1","4.4","sentino","E9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-05 16:05:27 PM AWST","57","FALSE","Target 1","UNKNOWN","SYBR","None","35.5837173461914","3.06186723709106","","","","","","","","TRUE","0.0947634944346201","TRUE","3","34","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.931100393732857","N","Y","N","N","Y"
